"Source:","C:\Users\kevin\OneDrive\Documents\Kevboy\Kevboy.kicad_sch"
"Date:","8/27/2022 11:19:42 AM"
"Tool:","Eeschema (5.99.0-12724-g8c8d66a181)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","47"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","D1","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D2","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D3","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D4","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D5","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D6","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D7","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D8","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D9","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D10","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D11","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D12","DIODE","pspice:DIODE","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","J5","208658-1051","mouser:208658-1051","2086581051","https://www.mouser.com/ProductDetail/Molex/208658-1051?qs=BJlw7L4Cy7%252Bu27sIkZU3Xw%3D%3D","1.0 HDMI R/A HEADER ASSY (I/M TYPE)","6.44","Molex","208658-1051","538-208658-1051","https://www.mouser.co.uk/ProductDetail/Molex/208658-1051?qs=BJlw7L4Cy7%252Bu27sIkZU3Xw%3D%3D"
"","","J6","208658-1051","mouser:208658-1051","2086581051","https://www.mouser.com/ProductDetail/Molex/208658-1051?qs=BJlw7L4Cy7%252Bu27sIkZU3Xw%3D%3D","1.0 HDMI R/A HEADER ASSY (I/M TYPE)","6.44","Molex","208658-1051","538-208658-1051","https://www.mouser.co.uk/ProductDetail/Molex/208658-1051?qs=BJlw7L4Cy7%252Bu27sIkZU3Xw%3D%3D"
"","","J7","692122030100","mouser:692122030100","692122030100","https://katalog.we-online.de/em/datasheet/692122030100.pdf","Wurth Elektronik WR-COM Series, Right Angle Through Hole, Version 3.0 Type A USB Connector, Receptacle","7.55","Wurth Elektronik","692122030100","710-692122030100","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/692122030100?qs=e5m3IbTHPW%252BwkSEzX%252BzXuw%3D%3D"
